PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Name,Transported,TotalExpenses,HasExpenses
0001_01,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,Maham Ofracculy,False,0.0,0
0002_01,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,Juanna Vines,True,736.0,1
0003_01,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,Altark Susent,False,10383.0,1
0003_02,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,Solam Susent,False,5176.0,1
0004_01,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,Willy Santantines,True,1091.0,1
0005_01,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,Sandie Hinetthews,True,774.0,1
0006_01,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,Billex Jacostaffey,True,1584.0,1
0006_02,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,Candra Jacostaffey,True,0.0,0
0007_01,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,Andona Beston,True,1018.0,1
0008_01,Europa,True,B,1.0,P,55 Cancri e,14.0,False,Erraiam Flatic,True,0.0,0
0008_02,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,Altardr Flatic,True,0.0,0
0008_03,Europa,False,B,1.0,P,55 Cancri e,45.0,False,Wezena Flatic,True,8157.0,1
0009_01,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,Berers Barne,True,1309.0,1
0010_01,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,Reney Baketton,False,809.0,1
0011_01,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,Elle Bertsontry,True,1003.0,1
0012_01,Earth,False,,,,TRAPPIST-1e,31.0,False,Justie Pooles,False,908.0,1
0014_01,Mars,False,F,3.0,P,55 Cancri e,27.0,False,Flats Eccle,False,1408.0,1
0015_01,Earth,False,F,4.0,P,55 Cancri e,24.0,False,Carry Hughriend,False,638.0,1
0016_01,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,Alus Upead,True,0.0,0
0017_01,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,Lyde Brighttt,True,0.0,0
0017_02,Earth,False,F,6.0,P,55 Cancri e,14.0,False,Philda Brighttt,False,1092.0,1
0020_01,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,Almary Brantuarez,False,0.0,0
0020_02,Earth,True,E,0.0,S,55 Cancri e,49.0,False,Glendy Brantuarez,False,0.0,0
0020_03,Earth,True,E,0.0,S,55 Cancri e,29.0,False,Mollen Mcfaddennon,False,0.0,0
0020_04,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,Breney Jacostanley,True,0.0,0
0020_05,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,Mael Brantuarez,False,0.0,0
0020_06,Earth,False,E,0.0,S,TRAPPIST-1e,7.0,False,Terta Mcfaddennon,False,0.0,0
0022_01,Mars,False,D,0.0,P,TRAPPIST-1e,21.0,False,,False,1051.0,1
0024_01,Europa,True,C,2.0,S,TRAPPIST-1e,62.0,False,Penton Fullided,True,0.0,0
0025_01,Earth,False,F,6.0,S,TRAPPIST-1e,15.0,False,Karard Brookenson,False,1223.0,1
