PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Name,TotalExpenses,HasExpenses,Transported
0001_01,Europa,False,B,0,P,TRAPPIST-1e,39.0,False,Maham Ofracculy,0.0,0,False
0002_01,Earth,False,F,0,S,TRAPPIST-1e,24.0,False,Juanna Vines,736.0,1,True
0003_01,Europa,False,A,0,S,TRAPPIST-1e,58.0,True,Altark Susent,10383.0,1,False
0003_02,Europa,False,A,0,S,TRAPPIST-1e,33.0,False,Solam Susent,5176.0,1,False
0004_01,Earth,False,F,1,S,TRAPPIST-1e,16.0,False,Willy Santantines,1091.0,1,True
0005_01,Earth,False,F,0,P,PSO J318.5-22,44.0,False,Sandie Hinetthews,774.0,1,True
0006_01,Earth,False,F,2,S,TRAPPIST-1e,26.0,False,Billex Jacostaffey,1584.0,1,True
0006_02,Earth,True,G,0,S,TRAPPIST-1e,28.0,False,Candra Jacostaffey,0.0,0,True
0007_01,Earth,False,F,3,S,TRAPPIST-1e,35.0,False,Andona Beston,1018.0,1,True
0008_01,Europa,True,B,1,P,55 Cancri e,14.0,False,Erraiam Flatic,0.0,0,True
0008_02,Europa,True,B,1,P,TRAPPIST-1e,34.0,False,Altardr Flatic,0.0,0,True
0008_03,Europa,False,B,1,P,55 Cancri e,45.0,False,Wezena Flatic,8157.0,1,True
0009_01,Mars,False,F,1,P,TRAPPIST-1e,32.0,False,Berers Barne,1309.0,1,True
0010_01,Earth,False,G,1,S,TRAPPIST-1e,48.0,False,Reney Baketton,809.0,1,False
0011_01,Earth,False,F,2,P,TRAPPIST-1e,28.0,False,Elle Bertsontry,1003.0,1,True
0012_01,Earth,False,,,,TRAPPIST-1e,31.0,False,Justie Pooles,908.0,1,False
0014_01,Mars,False,F,3,P,55 Cancri e,27.0,False,Flats Eccle,1408.0,1,False
0015_01,Earth,False,F,4,P,55 Cancri e,24.0,False,Carry Hughriend,638.0,1,False
0016_01,Mars,True,F,5,P,TRAPPIST-1e,45.0,False,Alus Upead,0.0,0,True
0017_01,Earth,False,G,0,P,TRAPPIST-1e,0.0,False,Lyde Brighttt,0.0,0,True
0017_02,Earth,False,F,6,P,55 Cancri e,14.0,False,Philda Brighttt,1092.0,1,False
0020_01,Earth,True,E,0,S,TRAPPIST-1e,1.0,False,Almary Brantuarez,0.0,0,False
0020_02,Earth,True,E,0,S,55 Cancri e,49.0,False,Glendy Brantuarez,0.0,0,False
0020_03,Earth,True,E,0,S,55 Cancri e,29.0,False,Mollen Mcfaddennon,0.0,0,False
0020_04,Earth,False,E,0,S,TRAPPIST-1e,10.0,False,Breney Jacostanley,0.0,0,True
0020_05,Earth,True,E,0,S,PSO J318.5-22,1.0,False,Mael Brantuarez,0.0,0,False
0020_06,Earth,False,E,0,S,TRAPPIST-1e,7.0,False,Terta Mcfaddennon,0.0,0,False
0022_01,Mars,False,D,0,P,TRAPPIST-1e,21.0,False,,1051.0,1,False
0024_01,Europa,True,C,2,S,TRAPPIST-1e,62.0,False,Penton Fullided,0.0,0,True
0025_01,Earth,False,F,6,S,TRAPPIST-1e,15.0,False,Karard Brookenson,1223.0,1,False
0026_01,Europa,False,C,0,P,55 Cancri e,34.0,False,Anyoni Unconary,7861.0,1,False
0028_01,Mars,False,F,8,P,TRAPPIST-1e,43.0,False,Ceros Mare,1309.0,1,False
0030_01,Earth,False,G,4,S,TRAPPIST-1e,32.0,False,Ginia Morsentley,1821.0,1,False
0031_01,Mars,False,F,9,P,TRAPPIST-1e,47.0,False,Coobix Datie,2854.0,1,True
0031_02,Mars,False,F,9,P,TRAPPIST-1e,2.0,False,Cinets Datie,0.0,0,True
0031_03,Mars,False,F,9,P,TRAPPIST-1e,20.0,False,Dontch Datie,2740.0,1,True
0034_01,Europa,True,D,1,S,55 Cancri e,28.0,False,Ziba Oingwhedly,0.0,0,True
0035_01,Mars,False,D,1,P,55 Cancri e,23.0,False,Luse Butte,2699.0,1,False
0036_01,Earth,False,F,8,S,55 Cancri e,15.0,,Marina Leodger,961.0,1,False
0038_01,Earth,False,F,10,S,55 Cancri e,20.0,False,Loise Wheelez,3355.0,1,False
0039_01,Earth,True,G,1,P,55 Cancri e,30.0,False,Jorgie Batthewitt,0.0,0,False
0041_01,Earth,True,G,2,P,TRAPPIST-1e,17.0,False,Margia Moodsey,0.0,0,True
0043_01,Europa,False,B,3,P,TRAPPIST-1e,45.0,False,Ankalik Cylistrand,3575.0,1,False
0044_01,Earth,True,G,3,P,TRAPPIST-1e,55.0,False,Jodye Coopelandez,0.0,0,False
0044_02,Earth,True,G,3,P,55 Cancri e,4.0,False,Kayne Coopelandez,0.0,0,True
0044_03,Earth,True,G,3,P,PSO J318.5-22,21.0,False,Cassa Coopelandez,0.0,0,True
0045_01,Mars,False,F,10,P,TRAPPIST-1e,21.0,False,Zelowl Chmad,1214.0,1,False
0045_02,Mars,True,F,10,P,,19.0,False,Mass Chmad,0.0,0,True
0050_01,Earth,False,E,1,S,55 Cancri e,35.0,False,Sony Lancis,790.0,1,False
0051_01,Earth,False,E,2,S,TRAPPIST-1e,56.0,False,Vivia Johnshines,1618.0,1,False
0052_01,Earth,False,G,6,S,TRAPPIST-1e,,False,Elaney Hubbarton,4689.0,1,False
0053_01,Earth,False,F,11,S,TRAPPIST-1e,25.0,False,Elson Hickerson,1939.0,1,True
0056_01,Europa,False,A,1,S,TRAPPIST-1e,2.0,False,Okulas Tractive,0.0,0,True
0056_02,Europa,True,A,1,S,TRAPPIST-1e,38.0,False,Instab Tractive,0.0,0,True
0056_03,Europa,False,A,1,S,TRAPPIST-1e,27.0,False,Zinoces Tractive,4547.0,1,True
0058_01,Earth,True,G,7,S,PSO J318.5-22,36.0,False,Warry Ayalazquez,0.0,0,False
0061_01,Earth,False,F,12,S,TRAPPIST-1e,22.0,False,Shanya Salez,2667.0,1,False
0062_01,Earth,False,F,13,S,TRAPPIST-1e,62.0,False,Sterry Greeves,634.0,1,False
0064_01,Mars,True,F,14,S,TRAPPIST-1e,15.0,False,,0.0,0,True
0064_02,,True,E,3,S,TRAPPIST-1e,33.0,False,Colatz Keen,0.0,0,True
0066_01,Earth,False,G,6,P,TRAPPIST-1e,62.0,False,Diandy Pecketton,811.0,1,False
0067_01,Earth,True,G,10,S,PSO J318.5-22,0.0,False,Ninaha Leeves,0.0,0,True
0067_02,Earth,False,G,10,S,TRAPPIST-1e,18.0,False,Celine Leeves,705.0,1,True
0067_03,Earth,False,F,15,S,55 Cancri e,21.0,False,Velyne Leeves,2007.0,1,False
0068_01,Mars,False,E,4,S,TRAPPIST-1e,,False,Cinst Binie,1048.0,1,False
0069_01,Earth,False,F,16,S,TRAPPIST-1e,42.0,False,,902.0,1,True
0070_01,Earth,False,F,13,P,TRAPPIST-1e,19.0,False,Meremy Brighttt,922.0,1,False
0071_01,Earth,False,F,14,P,TRAPPIST-1e,17.0,False,Nelly Dillines,2233.0,1,False
0072_01,Earth,False,F,17,S,TRAPPIST-1e,14.0,False,Thell Brantuarez,1064.0,1,False
0073_01,Mars,False,D,3,P,PSO J318.5-22,37.0,False,Gorn Make,879.0,1,False
0074_01,Europa,False,C,3,S,TRAPPIST-1e,42.0,False,Aldibah Mostedry,8904.0,1,True
0076_01,Mars,False,F,18,S,TRAPPIST-1e,27.0,False,Conk Dal,1165.0,1,True
0077_01,Mars,False,F,15,P,TRAPPIST-1e,28.0,False,Pon Blité,1309.0,1,True
0078_01,Europa,False,C,4,S,TRAPPIST-1e,38.0,False,Spuri Pokerheed,15815.0,1,False
