Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Name,TotalExpenses,HasExpenses,Transported
1,1,1,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,Maham Ofracculy,0,0,False
2,1,1,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,Juanna Vines,736,1,True
3,1,2,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,Altark Susent,10383,1,False
3,2,2,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,Solam Susent,5176,1,False
4,1,1,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,Willy Santantines,1091,1,True
5,1,1,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,Sandie Hinetthews,774,1,True
6,1,2,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,Billex Jacostaffey,1584,1,True
6,2,2,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,Candra Jacostaffey,0,0,True
7,1,1,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,Andona Beston,1018,1,True
8,1,3,Europa,True,B,1.0,P,55 Cancri e,14.0,False,Erraiam Flatic,0,0,True
8,2,3,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,Altardr Flatic,0,0,True
8,3,3,Europa,False,B,1.0,P,55 Cancri e,45.0,False,Wezena Flatic,8157,1,True
9,1,1,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,Berers Barne,1309,1,True
10,1,1,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,Reney Baketton,809,1,False
11,1,1,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,Elle Bertsontry,1003,1,True
12,1,1,Earth,False,,,,TRAPPIST-1e,31.0,False,Justie Pooles,908,1,False
14,1,1,Mars,False,F,3.0,P,55 Cancri e,27.0,False,Flats Eccle,1408,1,False
15,1,1,Earth,False,F,4.0,P,55 Cancri e,24.0,False,Carry Hughriend,638,1,False
16,1,1,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,Alus Upead,0,0,True
17,1,2,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,Lyde Brighttt,0,0,True
17,2,2,Earth,False,F,6.0,P,55 Cancri e,14.0,False,Philda Brighttt,1092,1,False
20,1,6,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,Almary Brantuarez,0,0,False
20,2,6,Earth,True,E,0.0,S,55 Cancri e,49.0,False,Glendy Brantuarez,0,0,False
20,3,6,Earth,True,E,0.0,S,55 Cancri e,29.0,False,Mollen Mcfaddennon,0,0,False
20,4,6,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,Breney Jacostanley,0,0,True
20,5,6,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,Mael Brantuarez,0,0,False
20,6,6,Earth,False,E,0.0,S,TRAPPIST-1e,7.0,False,Terta Mcfaddennon,0,0,False
22,1,1,Mars,False,D,0.0,P,TRAPPIST-1e,21.0,False,,1051,1,False
24,1,1,Europa,True,C,2.0,S,TRAPPIST-1e,62.0,False,Penton Fullided,0,0,True
25,1,1,Earth,False,F,6.0,S,TRAPPIST-1e,15.0,False,Karard Brookenson,1223,1,False
26,1,1,Europa,False,C,0.0,P,55 Cancri e,34.0,False,Anyoni Unconary,7861,1,False
28,1,1,Mars,False,F,8.0,P,TRAPPIST-1e,43.0,False,Ceros Mare,1309,1,False
30,1,1,Earth,False,G,4.0,S,TRAPPIST-1e,32.0,False,Ginia Morsentley,1821,1,False
31,1,3,Mars,False,F,9.0,P,TRAPPIST-1e,47.0,False,Coobix Datie,2854,1,True
31,2,3,Mars,False,F,9.0,P,TRAPPIST-1e,2.0,False,Cinets Datie,0,0,True
31,3,3,Mars,False,F,9.0,P,TRAPPIST-1e,20.0,False,Dontch Datie,2740,1,True
34,1,1,Europa,True,D,1.0,S,55 Cancri e,28.0,False,Ziba Oingwhedly,0,0,True
35,1,1,Mars,False,D,1.0,P,55 Cancri e,23.0,False,Luse Butte,2699,1,False
36,1,1,Earth,False,F,8.0,S,55 Cancri e,15.0,,Marina Leodger,961,1,False
38,1,1,Earth,False,F,10.0,S,55 Cancri e,20.0,False,Loise Wheelez,3355,1,False
39,1,1,Earth,True,G,1.0,P,55 Cancri e,30.0,False,Jorgie Batthewitt,0,0,False
41,1,1,Earth,True,G,2.0,P,TRAPPIST-1e,17.0,False,Margia Moodsey,0,0,True
43,1,1,Europa,False,B,3.0,P,TRAPPIST-1e,45.0,False,Ankalik Cylistrand,3575,1,False
44,1,3,Earth,True,G,3.0,P,TRAPPIST-1e,55.0,False,Jodye Coopelandez,0,0,False
44,2,3,Earth,True,G,3.0,P,55 Cancri e,4.0,False,Kayne Coopelandez,0,0,True
44,3,3,Earth,True,G,3.0,P,PSO J318.5-22,21.0,False,Cassa Coopelandez,0,0,True
45,1,2,Mars,False,F,10.0,P,TRAPPIST-1e,21.0,False,Zelowl Chmad,1214,1,False
45,2,2,Mars,True,F,10.0,P,,19.0,False,Mass Chmad,0,0,True
50,1,1,Earth,False,E,1.0,S,55 Cancri e,35.0,False,Sony Lancis,790,1,False
51,1,1,Earth,False,E,2.0,S,TRAPPIST-1e,56.0,False,Vivia Johnshines,1618,1,False
52,1,1,Earth,False,G,6.0,S,TRAPPIST-1e,,False,Elaney Hubbarton,4689,1,False
53,1,1,Earth,False,F,11.0,S,TRAPPIST-1e,25.0,False,Elson Hickerson,1939,1,True
56,1,3,Europa,False,A,1.0,S,TRAPPIST-1e,2.0,False,Okulas Tractive,0,0,True
56,2,3,Europa,True,A,1.0,S,TRAPPIST-1e,38.0,False,Instab Tractive,0,0,True
56,3,3,Europa,False,A,1.0,S,TRAPPIST-1e,27.0,False,Zinoces Tractive,4547,1,True
58,1,1,Earth,True,G,7.0,S,PSO J318.5-22,36.0,False,Warry Ayalazquez,0,0,False
61,1,1,Earth,False,F,12.0,S,TRAPPIST-1e,22.0,False,Shanya Salez,2667,1,False
62,1,1,Earth,False,F,13.0,S,TRAPPIST-1e,62.0,False,Sterry Greeves,634,1,False
64,1,2,Mars,True,F,14.0,S,TRAPPIST-1e,15.0,False,,0,0,True
64,2,2,,True,E,3.0,S,TRAPPIST-1e,33.0,False,Colatz Keen,0,0,True
66,1,1,Earth,False,G,6.0,P,TRAPPIST-1e,62.0,False,Diandy Pecketton,811,1,False
67,1,3,Earth,True,G,10.0,S,PSO J318.5-22,0.0,False,Ninaha Leeves,0,0,True
67,2,3,Earth,False,G,10.0,S,TRAPPIST-1e,18.0,False,Celine Leeves,705,1,True
67,3,3,Earth,False,F,15.0,S,55 Cancri e,21.0,False,Velyne Leeves,2007,1,False
68,1,1,Mars,False,E,4.0,S,TRAPPIST-1e,,False,Cinst Binie,1048,1,False
69,1,1,Earth,False,F,16.0,S,TRAPPIST-1e,42.0,False,,902,1,True
70,1,1,Earth,False,F,13.0,P,TRAPPIST-1e,19.0,False,Meremy Brighttt,922,1,False
71,1,1,Earth,False,F,14.0,P,TRAPPIST-1e,17.0,False,Nelly Dillines,2233,1,False
72,1,1,Earth,False,F,17.0,S,TRAPPIST-1e,14.0,False,Thell Brantuarez,1064,1,False
73,1,1,Mars,False,D,3.0,P,PSO J318.5-22,37.0,False,Gorn Make,879,1,False
74,1,1,Europa,False,C,3.0,S,TRAPPIST-1e,42.0,False,Aldibah Mostedry,8904,1,True
76,1,1,Mars,False,F,18.0,S,TRAPPIST-1e,27.0,False,Conk Dal,1165,1,True
77,1,1,Mars,False,F,15.0,P,TRAPPIST-1e,28.0,False,Pon Blité,1309,1,True
78,1,1,Europa,False,C,4.0,S,TRAPPIST-1e,38.0,False,Spuri Pokerheed,15815,1,False
81,1,1,Earth,True,G,13.0,S,TRAPPIST-1e,13.0,False,Dellie Vinozarks,0,0,False
82,1,3,Mars,False,F,16.0,P,TRAPPIST-1e,42.0,False,Totse Datte,7406,1,False
82,2,3,Mars,True,F,16.0,P,TRAPPIST-1e,2.0,False,Eaturs Datte,0,0,True
82,3,3,Mars,False,F,16.0,P,TRAPPIST-1e,8.0,False,,0,0,True
84,1,1,Earth,False,G,14.0,S,TRAPPIST-1e,24.0,False,Coren Coopezmaney,705,1,True
85,1,1,Europa,True,C,5.0,S,TRAPPIST-1e,40.0,False,Furudah Ellcefulve,0,0,True
86,1,1,Earth,False,F,17.0,P,TRAPPIST-1e,43.0,False,Jodye Kinson,1362,1,False
88,1,1,Mars,True,E,5.0,S,PSO J318.5-22,45.0,False,Stmeal Sacre,0,0,True
90,1,1,Earth,True,G,15.0,S,TRAPPIST-1e,35.0,False,Heremy Santry,0,0,True
91,1,2,Earth,True,G,16.0,S,TRAPPIST-1e,26.0,False,Deanne Yorkland,0,0,True
91,2,2,Earth,False,F,20.0,S,TRAPPIST-1e,27.0,False,Tinez Yorkland,917,1,False
92,1,3,Earth,False,G,9.0,P,TRAPPIST-1e,19.0,False,Gracy Dunnisey,705,1,False
92,2,3,Earth,True,G,9.0,P,TRAPPIST-1e,0.0,False,Stald Hewson,0,0,True
92,3,3,Earth,True,G,9.0,P,TRAPPIST-1e,3.0,False,Tiney Hewson,0,0,True
97,1,1,Europa,False,A,2.0,S,TRAPPIST-1e,54.0,False,Alchium Fictful,1848,1,False
98,1,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Doria Carezquez,893,1,False
98,2,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Leence Carezquez,3855,1,True
99,1,2,Earth,False,F,19.0,P,PSO J318.5-22,23.0,False,Aliey Leetersoney,1301,1,False
99,2,2,Earth,,G,12.0,P,TRAPPIST-1e,2.0,False,Thewis Connelson,0,0,True
101,1,1,Mars,True,,,,TRAPPIST-1e,31.0,False,Book Trad,0,0,True
102,1,1,Earth,False,F,23.0,S,TRAPPIST-1e,18.0,False,Ritany Holson,921,1,False
103,1,3,Earth,False,F,24.0,S,TRAPPIST-1e,24.0,False,Arlen Mclainez,17,1,True
103,2,3,Earth,True,G,18.0,S,55 Cancri e,9.0,False,Shaele Mclainez,0,0,True
103,3,3,Earth,True,G,18.0,S,TRAPPIST-1e,6.0,False,Fanne Mclainez,0,0,False
105,1,1,Earth,,F,21.0,P,TRAPPIST-1e,27.0,False,Carry Cleachrand,703,1,False
107,1,1,Mars,False,D,2.0,S,TRAPPIST-1e,21.0,False,Coobix Hart,1765,1,False
108,1,3,Earth,True,G,19.0,S,TRAPPIST-1e,23.0,False,Natald Handertiz,0,0,False
108,2,3,Earth,False,G,19.0,S,TRAPPIST-1e,31.0,False,,888,1,False
108,3,3,Earth,False,G,19.0,S,TRAPPIST-1e,0.0,,Oline Handertiz,0,0,True
110,1,4,Europa,False,,,,TRAPPIST-1e,32.0,False,Graviph Aloubtled,5109,1,False
110,2,4,Europa,,B,5.0,P,TRAPPIST-1e,40.0,False,Aldeba Bootious,2018,1,False
110,3,4,Europa,False,B,5.0,P,TRAPPIST-1e,42.0,False,Alaratz Aloubtled,15940,1,True
110,4,4,Europa,True,B,5.0,P,TRAPPIST-1e,28.0,False,Izark Aloubtled,0,0,True
111,1,1,Europa,True,E,6.0,S,TRAPPIST-1e,29.0,False,Aldera Supred,0,0,True
112,1,1,Europa,False,B,1.0,S,55 Cancri e,48.0,True,Moth Cowtale,2654,1,True
113,1,1,Earth,False,F,23.0,P,TRAPPIST-1e,64.0,False,Idary Carvis,804,1,True
114,1,1,Earth,False,G,20.0,S,TRAPPIST-1e,27.0,False,Maura Beckerson,907,1,False
115,1,1,Mars,,F,24.0,P,TRAPPIST-1e,26.0,False,Rohs Pead,0,0,True
116,1,1,Europa,False,D,4.0,P,TRAPPIST-1e,33.0,False,Alhenah Suptive,2640,1,True
119,1,2,,False,A,0.0,P,TRAPPIST-1e,39.0,False,Batan Coning,9307,1,False
119,2,2,Europa,True,A,0.0,P,TRAPPIST-1e,13.0,False,Kleeiak Coning,0,0,True
120,1,1,Mars,True,F,25.0,P,TRAPPIST-1e,24.0,False,Bees Sacre,0,0,True
122,1,1,Earth,False,G,21.0,S,TRAPPIST-1e,29.0,False,Shelle Hayder,773,1,False
123,1,1,Earth,False,F,27.0,P,TRAPPIST-1e,18.0,False,Iree Fielson,702,1,False
126,1,1,Mars,True,F,27.0,S,TRAPPIST-1e,67.0,False,Milly Mish,0,0,True
127,1,1,Mars,False,E,7.0,S,TRAPPIST-1e,35.0,False,Miloss Mesty,1022,1,False
128,1,2,Mars,False,D,3.0,S,TRAPPIST-1e,61.0,True,Grohs Fles,3014,1,False
128,2,2,Mars,False,E,8.0,S,TRAPPIST-1e,45.0,False,Barave Fles,2109,1,False
129,1,1,Earth,True,G,22.0,S,PSO J318.5-22,22.0,False,Race Fowles,0,0,True
133,1,2,Mars,True,F,29.0,S,TRAPPIST-1e,19.0,False,Flynx Blie,0,0,True
133,2,2,Mars,False,D,5.0,S,TRAPPIST-1e,36.0,False,Egrasp Blie,2738,1,False
134,1,1,Earth,False,G,17.0,P,TRAPPIST-1e,19.0,False,Camina Harmontry,744,1,True
136,1,1,Earth,False,G,23.0,S,PSO J318.5-22,47.0,False,,721,1,False
138,1,2,Earth,True,G,18.0,P,TRAPPIST-1e,13.0,False,Fayene Gambs,0,0,True
138,2,2,Earth,False,E,5.0,P,,34.0,False,Monah Gambs,793,1,False
139,1,1,Europa,True,C,6.0,S,55 Cancri e,35.0,False,Charda Myling,0,0,True
140,1,2,Earth,True,G,19.0,P,TRAPPIST-1e,24.0,False,Evaley Mejiaddox,0,0,True
140,2,2,Earth,False,F,29.0,P,TRAPPIST-1e,26.0,False,Verney Whitakers,902,1,False
141,1,1,Mars,False,F,30.0,P,TRAPPIST-1e,31.0,False,Pyrohs Harte,97,1,False
144,1,1,Earth,False,F,31.0,S,TRAPPIST-1e,20.0,False,Guadae Dayers,630,1,True
146,1,1,Earth,False,G,25.0,S,TRAPPIST-1e,56.0,False,Verly Wolferguson,0,0,False
147,1,1,Earth,True,G,26.0,S,TRAPPIST-1e,50.0,False,Samie Hubbarrison,0,0,True
148,1,1,Mars,False,F,31.0,P,TRAPPIST-1e,42.0,False,Corsh Pashe,1158,1,False
149,1,1,Earth,True,G,27.0,S,55 Cancri e,,False,Billya Hubbarrison,0,0,True
151,1,1,Earth,True,G,20.0,P,55 Cancri e,38.0,False,Shanie Simson,0,0,False
152,1,1,Earth,False,F,32.0,P,,41.0,False,Andan Estron,607,1,False
160,1,1,Earth,False,G,22.0,P,TRAPPIST-1e,22.0,False,Gory Atkinney,4180,1,False
163,1,2,Europa,True,B,8.0,P,TRAPPIST-1e,26.0,False,Kabiton Hetforhaft,0,0,True
163,2,2,Europa,True,B,8.0,P,TRAPPIST-1e,17.0,False,Scharab Hetforhaft,0,0,True
164,1,2,Earth,False,G,28.0,S,TRAPPIST-1e,57.0,False,Fany Hutchinton,1873,1,True
164,2,2,Earth,True,G,28.0,S,PSO J318.5-22,17.0,False,Ianya Hutchinton,0,0,False
165,1,1,Mars,True,F,37.0,P,TRAPPIST-1e,35.0,,Graven Anche,0,0,True
167,1,2,Mars,True,F,35.0,S,TRAPPIST-1e,13.0,False,Miten Floaf,0,0,True
167,2,2,Mars,False,F,35.0,S,TRAPPIST-1e,27.0,False,Rios Floaf,1572,1,False
169,1,1,Earth,True,G,23.0,P,TRAPPIST-1e,31.0,False,Wandy Fisherry,0,0,False
170,1,1,Earth,False,E,10.0,S,TRAPPIST-1e,24.0,False,Mollie Mcmahoney,788,1,False
171,1,1,Earth,True,G,30.0,S,PSO J318.5-22,19.0,False,Coracy Gordanieves,0,0,True
172,1,1,Earth,True,G,24.0,P,TRAPPIST-1e,32.0,False,Hanna Johnshines,0,0,True
173,1,1,Earth,,E,11.0,S,TRAPPIST-1e,58.0,False,Hilip Grifford,990,1,True
174,1,1,Earth,False,F,38.0,P,55 Cancri e,21.0,False,Doryn Lambles,593,1,False
177,1,1,Europa,False,B,2.0,S,TRAPPIST-1e,38.0,False,Toperon Iniouser,27428,1,False
178,1,1,Mars,False,D,6.0,S,TRAPPIST-1e,38.0,False,Wees Knik,3722,1,False
179,1,3,Earth,False,G,26.0,P,TRAPPIST-1e,19.0,False,Elaney Webstephrey,906,1,True
179,2,3,Earth,False,G,26.0,P,TRAPPIST-1e,0.0,False,Raque Webstephrey,0,0,False
179,3,3,Earth,False,G,26.0,P,TRAPPIST-1e,3.0,False,Sallyl Webstephrey,0,0,True
181,1,1,Earth,False,G,27.0,P,TRAPPIST-1e,20.0,False,Nancis Brighttt,394,1,False
182,1,1,Europa,True,C,3.0,P,TRAPPIST-1e,24.0,False,Ksorab Disight,0,0,True
183,1,1,Earth,False,F,36.0,S,TRAPPIST-1e,37.0,False,Stany Weaves,821,1,True
186,1,1,Earth,False,G,28.0,P,TRAPPIST-1e,25.0,False,Camiet Shephendry,1018,1,False
188,1,1,Earth,True,G,31.0,S,TRAPPIST-1e,56.0,False,Branda Romez,0,0,True
189,1,1,Earth,False,E,8.0,P,55 Cancri e,49.0,False,Helly Booters,788,1,False
190,1,1,Earth,True,G,32.0,S,55 Cancri e,11.0,False,,0,0,False
192,1,3,Earth,True,G,29.0,P,TRAPPIST-1e,1.0,False,Tance Adavisons,0,0,True
192,2,3,Earth,False,G,29.0,P,TRAPPIST-1e,8.0,False,Robyny Adavisons,0,0,False
192,3,3,Earth,False,G,29.0,P,TRAPPIST-1e,39.0,False,Lilace Adavisons,908,1,False
193,1,3,Mars,True,F,41.0,P,TRAPPIST-1e,2.0,False,Sps Raf,0,0,True
193,2,3,Mars,False,F,41.0,P,TRAPPIST-1e,23.0,False,Frook Raf,1080,1,False
193,3,3,Mars,False,F,41.0,P,TRAPPIST-1e,0.0,False,Goles Raf,0,0,True
195,1,1,Mars,False,F,42.0,P,TRAPPIST-1e,39.0,False,Bar Floaf,1273,1,True
196,1,1,Mars,False,D,5.0,P,PSO J318.5-22,25.0,False,Caper Emead,1778,1,False
197,1,1,Europa,False,C,5.0,P,TRAPPIST-1e,36.0,False,Astrak Dissper,2342,1,False
198,1,1,Earth,,G,30.0,P,PSO J318.5-22,52.0,False,Jeroy Cookson,0,0,True
199,1,1,Earth,True,G,33.0,S,TRAPPIST-1e,18.0,False,Regana Morrows,0,0,False
200,1,1,Earth,True,G,31.0,P,TRAPPIST-1e,15.0,False,Elia Colomonson,0,0,True
201,1,2,Europa,True,B,3.0,S,TRAPPIST-1e,35.0,False,Kaffias Bacistion,0,0,True
201,2,2,Europa,True,B,3.0,S,TRAPPIST-1e,47.0,False,Edaruma Bacistion,0,0,True
202,1,2,Europa,True,B,9.0,P,55 Cancri e,45.0,False,Pomera Embleng,0,0,True
202,2,2,Europa,False,A,2.0,P,55 Cancri e,,False,Vegas Embleng,3754,1,True
203,1,1,Europa,True,C,8.0,S,TRAPPIST-1e,51.0,False,Ancham Heateele,0,0,True
205,1,1,Earth,False,G,34.0,S,TRAPPIST-1e,29.0,False,Carma Oneiles,773,1,False
206,1,1,Europa,False,C,9.0,S,55 Cancri e,,False,Nuson Brugashed,2981,1,True
207,1,1,Earth,True,G,32.0,P,PSO J318.5-22,19.0,False,Thony Mcfaddennon,0,0,False
210,1,1,,True,D,6.0,P,55 Cancri e,24.0,False,Arraid Inicont,0,0,True
211,1,3,Mars,False,F,44.0,P,TRAPPIST-1e,29.0,False,Pebuts Appie,1040,1,True
211,2,3,Mars,True,F,44.0,P,TRAPPIST-1e,11.0,False,Corsh Appie,0,0,True
211,3,3,Mars,False,F,44.0,P,TRAPPIST-1e,17.0,False,Picers Date,1337,1,False
212,1,2,Earth,False,E,9.0,P,TRAPPIST-1e,13.0,False,Inen Workmans,982,1,False
212,2,2,Earth,False,F,45.0,P,TRAPPIST-1e,35.0,False,Shally Workmans,732,1,False
213,1,1,Earth,False,F,46.0,P,TRAPPIST-1e,21.0,False,Carita Navages,794,1,False
216,1,1,Earth,False,F,40.0,S,55 Cancri e,21.0,False,Searla Garnes,1974,1,False
217,1,1,Earth,False,F,47.0,P,TRAPPIST-1e,38.0,False,Prilly Shieldson,1544,1,False
219,1,1,Earth,True,G,36.0,P,TRAPPIST-1e,19.0,False,Nica River,0,0,True
220,1,7,Earth,True,G,37.0,P,TRAPPIST-1e,2.0,False,Tyle Wilsoney,0,0,True
220,2,7,Earth,False,G,37.0,P,TRAPPIST-1e,0.0,False,Wena Wilsoney,0,0,True
220,3,7,Earth,True,G,37.0,P,TRAPPIST-1e,13.0,False,Branca Wilsoney,0,0,False
220,4,7,Earth,False,E,10.0,P,TRAPPIST-1e,25.0,False,Dont Wilsoney,206,1,False
220,5,7,Earth,False,F,48.0,P,TRAPPIST-1e,16.0,False,Velyne Wilsoney,1102,1,False
220,6,7,Earth,False,G,37.0,P,55 Cancri e,1.0,False,Weney Wilsoney,0,0,False
220,7,7,Earth,True,G,37.0,P,TRAPPIST-1e,15.0,False,Guye Wilsoney,0,0,True
221,1,7,Mars,False,E,13.0,S,55 Cancri e,21.0,False,Cowhex Blan,2356,1,False
221,2,7,Mars,False,E,13.0,S,TRAPPIST-1e,23.0,False,Yogark Reke,1298,1,False
221,3,7,Mars,False,E,13.0,S,TRAPPIST-1e,33.0,False,Jacks Reke,2134,1,False
221,4,7,Mars,True,E,13.0,S,TRAPPIST-1e,21.0,False,Eerch Reke,0,0,True
221,5,7,Mars,False,E,13.0,S,TRAPPIST-1e,41.0,False,Panbug Reke,2597,1,False
221,6,7,Mars,False,E,13.0,S,TRAPPIST-1e,16.0,False,Gran Reke,1370,1,False
221,7,7,Mars,True,E,13.0,S,TRAPPIST-1e,42.0,False,Rohs Reke,0,0,False
222,1,3,Mars,False,F,41.0,S,TRAPPIST-1e,20.0,False,Gone Perte,1417,1,False
222,2,3,Mars,True,F,41.0,S,TRAPPIST-1e,24.0,False,Colf Deva,0,0,True
222,3,3,Mars,True,E,14.0,S,TRAPPIST-1e,16.0,False,Grake Perte,0,0,True
223,1,1,Earth,False,G,35.0,S,TRAPPIST-1e,21.0,False,Evan Sykess,676,1,False
224,1,1,Mars,False,F,42.0,S,TRAPPIST-1e,32.0,True,Blues Queen,1820,1,False
225,1,1,Earth,True,G,38.0,P,PSO J318.5-22,58.0,False,Carly Hortis,0,0,True
229,1,1,Earth,False,F,43.0,S,TRAPPIST-1e,24.0,False,Done Sellahaney,803,1,False
231,1,1,Mars,False,F,44.0,S,TRAPPIST-1e,30.0,False,Krus Nate,1806,1,False
232,1,1,Earth,True,G,36.0,S,PSO J318.5-22,27.0,False,Nica Bakerrison,0,0,False
