Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Surname,TotalExpenses,HasExpenses,Transported
1,1,1,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,Ofracculy,0,0,False
2,1,1,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,Vines,736,1,True
3,1,2,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,Susent,10383,1,False
3,2,2,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,Susent,5176,1,False
4,1,1,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,Santantines,1091,1,True
5,1,1,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,Hinetthews,774,1,True
6,1,2,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,Jacostaffey,1584,1,True
6,2,2,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,Jacostaffey,0,0,True
7,1,1,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,Beston,1018,1,True
8,1,3,Europa,True,B,1.0,P,55 Cancri e,14.0,False,Flatic,0,0,True
8,2,3,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,Flatic,0,0,True
8,3,3,Europa,False,B,1.0,P,55 Cancri e,45.0,False,Flatic,8157,1,True
9,1,1,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,Barne,1309,1,True
10,1,1,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,Baketton,809,1,False
11,1,1,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,Bertsontry,1003,1,True
12,1,1,Earth,False,,,,TRAPPIST-1e,31.0,False,Pooles,908,1,False
14,1,1,Mars,False,F,3.0,P,55 Cancri e,27.0,False,Eccle,1408,1,False
15,1,1,Earth,False,F,4.0,P,55 Cancri e,24.0,False,Hughriend,638,1,False
16,1,1,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,Upead,0,0,True
17,1,2,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,Brighttt,0,0,True
17,2,2,Earth,False,F,6.0,P,55 Cancri e,14.0,False,Brighttt,1092,1,False
20,1,6,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,Brantuarez,0,0,False
20,2,6,Earth,True,E,0.0,S,55 Cancri e,49.0,False,Brantuarez,0,0,False
20,3,6,Earth,True,E,0.0,S,55 Cancri e,29.0,False,Mcfaddennon,0,0,False
20,4,6,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,Jacostanley,0,0,True
20,5,6,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,Brantuarez,0,0,False
20,6,6,Earth,False,E,0.0,S,TRAPPIST-1e,7.0,False,Mcfaddennon,0,0,False
22,1,1,Mars,False,D,0.0,P,TRAPPIST-1e,21.0,False,,1051,1,False
24,1,1,Europa,True,C,2.0,S,TRAPPIST-1e,62.0,False,Fullided,0,0,True
25,1,1,Earth,False,F,6.0,S,TRAPPIST-1e,15.0,False,Brookenson,1223,1,False
26,1,1,Europa,False,C,0.0,P,55 Cancri e,34.0,False,Unconary,7861,1,False
28,1,1,Mars,False,F,8.0,P,TRAPPIST-1e,43.0,False,Mare,1309,1,False
30,1,1,Earth,False,G,4.0,S,TRAPPIST-1e,32.0,False,Morsentley,1821,1,False
31,1,3,Mars,False,F,9.0,P,TRAPPIST-1e,47.0,False,Datie,2854,1,True
31,2,3,Mars,False,F,9.0,P,TRAPPIST-1e,2.0,False,Datie,0,0,True
31,3,3,Mars,False,F,9.0,P,TRAPPIST-1e,20.0,False,Datie,2740,1,True
34,1,1,Europa,True,D,1.0,S,55 Cancri e,28.0,False,Oingwhedly,0,0,True
35,1,1,Mars,False,D,1.0,P,55 Cancri e,23.0,False,Butte,2699,1,False
36,1,1,Earth,False,F,8.0,S,55 Cancri e,15.0,,Leodger,961,1,False
38,1,1,Earth,False,F,10.0,S,55 Cancri e,20.0,False,Wheelez,3355,1,False
39,1,1,Earth,True,G,1.0,P,55 Cancri e,30.0,False,Batthewitt,0,0,False
41,1,1,Earth,True,G,2.0,P,TRAPPIST-1e,17.0,False,Moodsey,0,0,True
43,1,1,Europa,False,B,3.0,P,TRAPPIST-1e,45.0,False,Cylistrand,3575,1,False
44,1,3,Earth,True,G,3.0,P,TRAPPIST-1e,55.0,False,Coopelandez,0,0,False
44,2,3,Earth,True,G,3.0,P,55 Cancri e,4.0,False,Coopelandez,0,0,True
44,3,3,Earth,True,G,3.0,P,PSO J318.5-22,21.0,False,Coopelandez,0,0,True
45,1,2,Mars,False,F,10.0,P,TRAPPIST-1e,21.0,False,Chmad,1214,1,False
45,2,2,Mars,True,F,10.0,P,,19.0,False,Chmad,0,0,True
50,1,1,Earth,False,E,1.0,S,55 Cancri e,35.0,False,Lancis,790,1,False
51,1,1,Earth,False,E,2.0,S,TRAPPIST-1e,56.0,False,Johnshines,1618,1,False
52,1,1,Earth,False,G,6.0,S,TRAPPIST-1e,,False,Hubbarton,4689,1,False
53,1,1,Earth,False,F,11.0,S,TRAPPIST-1e,25.0,False,Hickerson,1939,1,True
56,1,3,Europa,False,A,1.0,S,TRAPPIST-1e,2.0,False,Tractive,0,0,True
